date,snowlvl,precipaccumulation,airtempmax,airtempmin,airtempavg,precipincrement
2014-01-01,10.4,26.8,48,32,40,0.00
2014-01-02,10.5,26.8,48,33,42,0.00
2014-01-03,9.9,26.8,33,19,25,0.50
2014-01-04,10.9,27.3,40,20,30,0.00
2014-01-05,10.9,27.3,40,33,37,0.00
2014-01-06,10.8,27.3,47,35,39,0.00
2014-01-07,10.6,27.3,37,32,34,0.50
2014-01-08,10.9,27.8,35,29,33,1.50
2014-01-09,12.5,29.3,34,26,30,1.10
2014-01-10,13.6,30.4,35,30,32,0.70
2014-01-11,14.1,31.1,38,27,31,1.20
2014-01-12,15.8,32.3,34,26,31,1.70
2014-01-13,18.5,34.0,34,31,32,1.10
2014-01-14,19.1,35.1,36,30,33,0.20
2014-01-15,19.1,35.3,42,34,37,0.00
2014-01-16,19.1,35.3,48,36,42,0.00
2014-01-17,19.1,35.3,58,43,48,0.00
2014-01-18,19.0,35.3,55,44,47,0.00
2014-01-19,18.9,35.3,47,37,42,0.00
2014-01-20,18.7,35.3,47,38,43,0.00
2014-01-21,18.7,35.3,49,37,43,0.00
2014-01-22,18.6,35.3,43,30,36,0.00
2014-01-23,18.6,35.3,42,35,38,0.00
2014-01-24,18.5,35.3,49,36,43,0.00
2014-01-25,18.4,35.3,52,40,45,0.00
2014-01-26,18.3,35.3,53,42,46,0.00
2014-01-27,18.3,35.3,45,37,41,0.00
2014-01-28,18.2,35.3,42,37,39,1.00
2014-01-29,18.4,36.3,41,27,33,2.10
2014-01-30,19.4,38.4,28,25,26,0.50
2014-01-31,20.5,38.9,28,25,26,1.20
2014-02-01,22.0,40.1,34,22,26,0.40
2014-02-02,22.2,40.5,29,21,25,0.00
2014-02-03,22.4,40.5,26,17,21,0.60
2014-02-04,23.0,41.1,17,6,12,0.10
2014-02-05,23.1,41.2,6,-3,1,0.00
2014-02-06,22.9,41.2,20,-2,8,0.20
2014-02-07,23.6,41.4,23,11,19,0.80
2014-02-08,24.4,42.2,30,17,24,1.40
2014-02-09,25.8,43.6,34,28,31,0.80
2014-02-10,26.6,44.4,34,28,32,0.50
2014-02-11,27.2,44.9,34,31,33,1.30
2014-02-12,29.4,46.2,38,33,36,2.20
2014-02-13,29.6,48.4,36,28,31,0.70
2014-02-14,30.0,49.1,37,30,33,2.50
2014-02-15,32.3,51.6,37,26,32,0.90
2014-02-16,33.4,52.5,30,23,27,0.80
2014-02-17,34.2,53.3,31,28,29,2.20
2014-02-18,36.4,55.5,33,23,29,1.80
2014-02-19,38.2,57.3,27,22,24,1.70
2014-02-20,39.9,59.0,30,26,29,2.30
2014-02-21,42.2,61.3,34,26,28,0.10
2014-02-22,42.3,61.4,32,23,27,0.00
2014-02-23,42.5,61.4,35,28,32,0.00
2014-02-24,42.5,61.4,41,34,37,0.50
2014-02-25,42.4,61.9,45,36,40,0.00
2014-02-26,42.2,61.9,44,35,39,0.00
2014-02-27,42.2,61.9,38,34,35,0.40
2014-02-28,42.3,62.3,41,32,36,0.00
2014-03-01,42.2,62.3,34,24,29,0.80
2014-03-02,42.9,63.1,35,33,34,0.70
2014-03-03,43.7,63.8,36,33,34,1.00
2014-03-04,44.7,64.8,38,33,35,0.10
2014-03-05,44.8,64.9,43,34,39,1.40
2014-03-06,44.7,66.3,34,31,33,1.10
2014-03-07,45.9,67.4,42,31,35,0.50
2014-03-08,46.4,67.9,44,34,40,0.70
2014-03-09,46.7,68.6,41,33,38,1.00
2014-03-10,46.1,69.6,33,24,30,1.50
2014-03-11,47.6,71.1,36,22,30,0.10
2014-03-12,47.7,71.2,46,31,38,0.00
2014-03-13,47.8,71.2,46,34,39,0.00
2014-03-14,47.7,71.2,38,31,34,0.80
2014-03-15,47.9,72.0,50,30,41,0.00
2014-03-16,47.7,72.0,44,24,36,1.00
2014-03-17,48.7,73.0,28,23,24,1.40
2014-03-18,50.1,74.4,35,22,29,0.00
2014-03-19,50.2,74.4,33,23,29,0.00
2014-03-20,50.4,74.4,30,19,24,0.00
2014-03-21,50.4,74.4,37,19,27,0.00
2014-03-22,50.4,74.4,44,23,32,0.00
2014-03-23,50.4,74.4,45,31,37,0.00
2014-03-24,50.4,74.4,55,35,43,0.00
2014-03-25,50.2,74.4,44,29,35,0.50
2014-03-26,50.6,74.9,35,28,31,0.80
