date,snowlvl,precipaccumulation,airtempmax,airtempmin,airtempavg,precipincrement
2016-01-01,21.7,52.1,31,21,26,0.00
2016-01-02,21.5,52.1,25,14,19,0.00
2016-01-03,21.4,52.1,34,13,23,0.40
2016-01-04,21.8,52.5,36,30,33,0.00
2016-01-05,21.8,52.5,34,30,32,0.30
2016-01-06,22.1,52.8,33,29,30,0.00
2016-01-07,22.1,52.8,33,27,30,0.10
2016-01-08,22.2,52.9,33,25,29,0.10
2016-01-09,22.3,53.0,34,26,29,0.10
2016-01-10,22.3,53.1,33,25,29,0.00
2016-01-11,22.3,53.1,35,24,31,0.30
2016-01-12,22.6,53.4,36,31,34,0.50
2016-01-13,23.1,53.9,36,26,32,0.70
2016-01-14,23.5,54.6,30,26,28,0.90
2016-01-15,24.4,55.5,32,27,30,0.40
2016-01-16,24.8,55.9,36,29,33,0.50
2016-01-17,25.2,56.4,34,30,32,0.80
2016-01-18,25.9,57.2,33,30,31,0.20
2016-01-19,26.2,57.4,33,28,31,1.40
2016-01-20,27.6,58.8,35,27,29,0.50
2016-01-21,28.4,59.3,44,34,39,0.00
2016-01-22,28.2,59.3,38,34,36,0.30
2016-01-23,28.4,59.6,37,30,32,0.90
2016-01-24,29.3,60.5,33,28,29,0.40
2016-01-25,29.6,60.9,36,30,32,0.00
2016-01-26,29.7,60.9,42,35,40,0.20
2016-01-27,29.6,61.1,46,40,42,0.00
2016-01-28,29.4,61.1,43,29,36,1.30
2016-01-29,29.4,62.4,34,26,29,1.00
2016-01-30,30.7,63.4,28,23,25,0.80
2016-01-31,31.8,64.2,28,21,23,0.50
2016-02-01,31.9,64.7,27,21,24,0.00
2016-02-02,32.2,64.7,31,18,24,0.10
2016-02-03,32.3,64.8,32,26,29,0.70
2016-02-04,33.0,65.5,33,29,31,2.50
2016-02-05,35.5,68.0,37,29,32,0.20
2016-02-06,35.8,68.2,35,24,30,0.00
2016-02-07,35.7,68.2,47,34,40,0.00
2016-02-08,35.7,68.2,59,44,50,0.00
2016-02-09,35.7,68.2,58,42,48,0.00
2016-02-10,35.3,68.2,48,38,44,0.00
2016-02-11,35.2,68.2,46,40,43,0.40
2016-02-12,34.8,68.6,42,31,37,0.50
2016-02-13,34.9,69.1,34,29,31,1.20
2016-02-14,36.1,70.3,42,34,38,2.40
2016-02-15,36.1,72.7,43,35,38,0.00
2016-02-16,35.7,72.7,44,36,38,0.10
2016-02-17,35.4,72.8,46,29,40,0.40
2016-02-18,35.3,73.2,31,27,30,0.90
2016-02-19,36.4,74.1,33,26,30,0.90
2016-02-20,37.4,75.0,31,24,28,0.20
2016-02-21,37.7,75.2,36,27,30,0.30
2016-02-22,37.9,75.5,34,22,28,0.10
2016-02-23,38.2,75.6,38,26,32,0.00
2016-02-24,38.2,75.6,47,34,39,0.00
2016-02-25,38.1,75.6,52,36,43,0.00
2016-02-26,38.1,75.6,49,36,42,0.40
2016-02-27,38.2,76.0,37,32,34,0.90
2016-02-28,38.4,76.9,37,27,32,0.40
2016-02-29,38.7,77.3,34,25,30,0.60
2016-03-01,39.4,77.9,39,28,34,0.30
2016-03-02,39.3,78.2,44,27,35,0.00
2016-03-03,39.2,78.2,42,31,35,0.30
2016-03-04,39.2,78.5,45,34,40,0.00
2016-03-05,39.0,78.5,42,36,39,0.50
